Name,City,State,Zip,Amount
Mckinney North High School,Mckinney,TX,75071,500
Grand Ledge High School,Grand Ledge,MI,48837,150
Summit Academy High School,Draper,UT,84020,500
San Joaquin Memorial High School,Fresno,CA,93703,2700
Berne-Knox-Westerlo Junior-Senior High School,Berne,NY,12023,150
Saint Cecilia Academy,Nashville,TN,37205,2700
Space Coast Junior-Senior High School,Cocoa,FL,32927,150
Sarasota Christian School,Sarasota,FL,34232,500
Inspire Charter School,Duarte,CA,91010,150
American Senior High School,Hialeah,FL,33015,150
Ja-Hope And Summit Academy,Westminster,CO,80021,150
Warren County High School,Front Royal,VA,22630,150
Haverford School,Haverford,PA,19041,150
Mariner High School,Cape Coral,FL,33993,500
John Paul The Great Academy,Lafayette,LA,70501,2700
Saint Matthias High School,Downey,CA,90242,2700
Saint Lucy's Priory High School,Glendora,CA,91741,2700
Villa Madonna Academy,Villa Hills,KY,41017,150
Miami Jackson Senior High School,Miami,FL,33142,500
Mary Help of Christians Academy,North Haledon,NJ,07508,500
Westminster Academy,Ft Lauderdale,FL,33308,150
Prospect High School,Mt Prospect,IL,60056,150
Valley View Charter Prep,Stockton,CA,00nan,2700
Saint Anthony's High School,Melville,NY,11747,2700
Wesley Chapel High School,Wesley Chapel,FL,33545,150
Lemon Bay High School,Englewood,FL,34224,150
DePaul College Prep,Chicago,IL,60618,2700
Boca Raton Community High School,Boca Raton,FL,33486,150
Yulee High School,Yulee,FL,32097,150
Somers High School,Somers,CT,06071,150
Calvert Hall College High School,Baltimore,MD,21286,2700
Bishop Foley Catholic High School,Madison Hts,MI,48071,2700
Sarasota Military Academy,Sarasota,FL,34236,500
Miami Country Day School,Miami,FL,33161,500
Naperville North High School,Naperville,IL,60563,150
High School of Saint Thomas More,Champaign,IL,61822,150
Saint Brendan High School,Miami,FL,33165,2700
Fairport High School,Fairport,NY,14450,150
Oakland Catholic High School,Pittsburgh,PA,15213,2700
Miami Coral Park Senior High School,Miami,FL,33165,500
Pedro Menendez High School,St Augustine,FL,32086,150
Saint Augustine Academy,Ventura,CA,93004,2700
Saint Michael The Archangel Diocesan Regional High School,Baton Rouge,LA,70817,2700
Boiling Springs High School,Boiling Sprgs,PA,17007,150
West Shore Junior-Senior High School,Melbourne,FL,32935,150
Lake Zurich Senior High School,Lake Zurich,IL,60047,150
Bishop O'connell High School,Arlington,VA,22213,2700
Aquinas High School,Augusta,GA,30904,2700
Goffstown Area High School,Goffstown,NH,03045,150
Cherokee Trail High School,Aurora,CO,80016,150
Douglas Anderson School for the Arts,Jacksonville,FL,32207,150
Holmes County High School,Bonifay,FL,32425,150
Valley Regional High School #5- Academy Of Scientific Exploration,San Fernando,CA,91340,150
Houston County High School,Warner Robins,GA,31088,150
Forest Hill High School,West Palm Bch,FL,33405,150
Barbara Goleman High School,Miami Lakes,FL,33018,150
Greenwood Community High School,Greenwood,IN,46142,150
North Rose-Wolcott High School,Wolcott,NY,14590,150
Edison Collegiate High School: Charlotte Campus,Punta Gorda,FL,33950,150
Monsignor Farrell High School,Staten Island,NY,10306,2700
Lincoln-Way West High School,New Lenox,IL,60451,500
Robbinsdale Armstrong High School,Plymouth,MN,55441,150
Saint Maria Goretti High School,Hagerstown,MD,21742,2700
Big Walnut High School,Sunbury,OH,43074,150
Labelle High School,Labelle,FL,33935,150
Seminole Ridge Community High School,Loxahatchee,FL,33470,150
Dayspring Academy,Greenbrier,TN,37073,150
Hialeah-Miami Lakes Senior High School,Hialeah,FL,33014,150
Edmonds-Woodway High School,Edmonds,WA,98026,150
Jane Addams High School,Granada Hills,CA,91344,150
Montverde Academy,Montverde,FL,34756,500
East Lee County High School,Lehigh Acres,FL,33936,150
Mill Creek High School,Hoschton,GA,30548,150
Christian Educators Schools,Cpe Canaveral,FL,32920,500
K12 International Academy,Herndon,VA,20171,150
Trinity School At Greenlawn,South Bend,IN,46617,500
Union Grove High School,Union Grove,WI,53182,150
Flagler Palm Coast High School,Palm Coast,FL,32164,150
Nouvel Catholic Central High School,Saginaw,MI,48603,2700
William Amos Hough High School,Cornelius,NC,28031,150
Benedictine High School,Cleveland,OH,44104,2700
Minnetonka High School,Minnetonka,MN,55345,150
Our Lady Sacred Heart High School,Coraopolis,PA,15108,2700
North Cobb High School,Kennesaw,GA,30144,150
Blue Water Middle College Academy,Port Huron,MI,48061,150
Parkersburg South High School,Parkersburg,WV,26101,150
Clarkston Senior High School,Clarkston,MI,48346,150
Somerset Arts Conservatory,Pembroke Pnes,FL,33029,500
Lapeer West High School,Lapeer,MI,48446,150
Heyworth High School,Heyworth,IL,61745,150
Chatfield Senior High School,Littleton,CO,80127,150
Brother Martin High School,New Orleans,LA,70122,2700
Immaculate Heart of Mary School,Still River,MA,01467,150
Felix Varela Senior High School,Miami,FL,33196,150
Lakewood Ranch High School,Bradenton,FL,34211,150
John Paul II Catholic School,Ridgeland,SC,29936,2700
Elk County Catholic High School,Saint Marys,PA,15857,2700
Paul R Wharton High School,Tampa,FL,33647,150
Austin Catholic Academy,Ray,MI,48096,2700
Westfall High School,Williamsport,OH,43164,150
Warsaw Community High School,Warsaw,IN,46580,150
Cedar Park High School,Cedar Park,TX,78613,150
Orangewood Christian School,Maitland,FL,32751,500
Circle Christian School,Winter Park,FL,32789,500
Contoocook Valley Regional High School,Peterborough,NH,03458,150
West Catholic High School,Grand Rapids,MI,49504,2700
South Kingstown High School,Wakefield,RI,02879,150
Massapequa High School,Massapequa,NY,11758,500
Inspiration Academy,Bradenton,FL,34209,150
Pius Xi High School,Milwaukee,WI,53213,2700
Armwood High School,Seffner,FL,33584,150
Cedar Brook Academy,Clarksburg,MD,20871,500
Jonathan Dayton High School,Springfield,NJ,07081,150
Hempfield High School,Landisville,PA,17538,150
Schenevus Central School,Schenevus,NY,12155,150
Our Lady Of Mercy High School,Rochester,NY,14610,150
Annville Cleona High School,Annville,PA,17003,150
Georgetown High School,Georgetown,TX,78626,150
Florida Virtual School Full-Time,Orlando,FL,32809,150
Plant City High School,Plant City,FL,33563,150
Sports Leadership & Management Charter Middle/High School,Miami,FL,33136,500
Tarpon Springs Senior High School,Tarpon Spgs,FL,34689,150
Leon High School,Tallahassee,FL,32308,150
Matthew F Maury High School,Norfolk,VA,23517,500
Key West High School,Key West,FL,33040,150
Community School of Naples,Naples,FL,34109,150
Franklin Academy Pembroke Pines K12 Campus,Pembroke Pines,FL,33332,500
Polk County District Virtual Instructor,Bartow,FL,33830,500
Spring-Ford High School,Royersford,PA,19468,150
Master's Academy,Oviedo,FL,32765,500
Ephrata Senior High School,Ephrata,WA,98823,150
Spooner High School,Spooner,WI,54801,150
Millbrook High School,Winchester,VA,22603,150
Paradise Valley High School,Phoenix,AZ,85032,150
Queen's Grant High School,Matthews,NC,28105,500
Estacada Early College,Estacada,OR,97023,150
Joliet Catholic Academy,Joliet,IL,60435,2700
North Pole High School,North Pole,AK,99705,150
The Pine School,Hobe Sound,FL,33455,500
Batavia High School,Batavia,IL,60510,150
Hillsborough High School,Tampa,FL,33603,150
Point Loma High School,San Diego,CA,92106,150
Saint Mary's High School,Phoenix,AZ,85004,2700
Camden County High School,Kingsland,GA,31548,150
Robert Morgan Educational Center,Miami,FL,33177,150
West Boca Raton Community High School,Boca Raton,FL,33498,150
Ville De Marie Academy,Scottsdale,AZ,85251,150
